indicator,source,series_id,countries,year_min,year_max,license,direction,anchor,coverage_pct,flags
basel_fatf_listing_flag,"Basel AML Index Expert Edition 2026 (Basel Institute on Governance), FATF Mutual Evaluation sub-component",basel-aml-index-expertedition_2026-03-31.xlsx:FATF grey list (col 38) | FATF black list (col 39),191,2026,2026,Open with citation (Basel Institute on Governance),high_risk,"[0.0, 1.0] binary 0/1 (FATF grey- or black-list standing)",97.9,"PRODUCT-2 LENS ONLY (scoring rule 7; see docs/METHODS.md): Monetization Domain A feeds the intervention map, NOT the R x E composite; OPTIONAL listing signal (separate from the continuous FATF-ME score); screen as its own indicator in the data-stage correlation check"
basel_fatf_me_effectiveness,"Basel AML Index Expert Edition 2026 (Basel Institute on Governance), FATF Mutual Evaluation sub-component",basel-aml-index-expertedition_2026-03-31.xlsx:FATF Mutual Evaluation Reports (col 9),184,2026,2026,Open with citation (Basel Institute on Governance),high_risk,"[0.0, 10.0] Basel risk scale 0-10 (FATF Mutual Evaluation effectiveness; higher = weaker AML effectiveness = more risk)",94.4,"PRODUCT-2 LENS ONLY (scoring rule 7; see docs/METHODS.md): Monetization Domain A feeds the intervention map, NOT the R x E composite; NON-CIRCULAR SLICE (circularity flags; docs/METHODS.md): disaggregated Basel sub-component, NOT the Basel composite (which embeds the TIP Report); lens-only -- do not promote to Product-1 without the data-stage demonstration; CORRELATION-PENDING (scoring rule 4 / rule 8): keep-distinct-vs-merge for the Monetization financial-integrity component count is the data-stage correlation/collinearity screen vs the governance backbone (wb_wgi_rule_of_law / v2x_rule) and FATF-ME vs FSI -- pending decision, flagged for review (placeholder ~r<0.6-0.7 keep / ~r>=0.85 merge)"
disaster_affected_intensity,"EM-DAT (CRED/UCLouvain), public custom request 2026-05-28",EM-DAT Total Deaths / Total Affected (Natural),194,2020,2024,Non-commercial / academic; registration required (CRED/UCLouvain) -- PUBLICATION-ELIGIBILITY PENDING: confirm publication eligibility before public release,high_risk,"[0.0, 1.0] persons affected as share of population (5-yr window 2020-2024)",99.5,"PUBLICATION-ELIGIBILITY PENDING (design decision 3.1): EM-DAT non-commercial/academic only -- rows KEPT. Confirm CRED/UCLouvain publication eligibility (or line up a publishable disaster proxy) before public release; Structural Disruption D1 depends on these; MNAR-TRUE-ZERO: in-sample countries absent from EM-DAT treated as 0 events (accepted event-stock assumption, NOT drop-and-re-average); countries with no population denominator stay missing; WINDOW-PRIOR: 5 complete years 2020-2024 (prior effort used 2020-2025; 2025 partial excluded) -- re-examine, pending decision; ANCHOR-PRIOR: mortality ceiling 100/100k, affected ceiling 1.0 share -- absolute per-exposure anchors, re-examine; HEAT-WAVE-EXCLUDED (documented design decision): Disaster Subtype 'Heat wave' entries excluded, all years -- excess-mortality accounting tracks measurement capacity, not displacement-producing shock; cold-wave entries stay (flagged for watch)"
disaster_mortality_intensity,"EM-DAT (CRED/UCLouvain), public custom request 2026-05-28",EM-DAT Total Deaths / Total Affected (Natural),194,2020,2024,Non-commercial / academic; registration required (CRED/UCLouvain) -- PUBLICATION-ELIGIBILITY PENDING: confirm publication eligibility before public release,high_risk,"[0.0, 100.0] disaster deaths per 100k (5-yr window 2020-2024)",99.5,"PUBLICATION-ELIGIBILITY PENDING (design decision 3.1): EM-DAT non-commercial/academic only -- rows KEPT. Confirm CRED/UCLouvain publication eligibility (or line up a publishable disaster proxy) before public release; Structural Disruption D1 depends on these; MNAR-TRUE-ZERO: in-sample countries absent from EM-DAT treated as 0 events (accepted event-stock assumption, NOT drop-and-re-average); countries with no population denominator stay missing; WINDOW-PRIOR: 5 complete years 2020-2024 (prior effort used 2020-2025; 2025 partial excluded) -- re-examine, pending decision; ANCHOR-PRIOR: mortality ceiling 100/100k, affected ceiling 1.0 share -- absolute per-exposure anchors, re-examine; HEAT-WAVE-EXCLUDED (documented design decision): Disaster Subtype 'Heat wave' entries excluded, all years -- excess-mortality accounting tracks measurement capacity, not displacement-producing shock; cold-wave entries stay (flagged for watch)"
epr_excluded_pop_share,ETH-Zurich Ethnic Power Relations (EPR) Core 2023,"EPR-2023 Core: status x size, snapshot 2023",172,2023,2023,Academic / open; downloadable at icr.ethz.ch -- redistribution terms under confirmation (see docs/data-provenance.md),high_risk,"[0.0, 0.5] depth-weighted share of population in politically-excluded ethnic groups",88.2,"SINGLE-SIGNAL DRIVER (Ascriptive Exclusion) -- single EPR signal operationalizes the COMBINED driver D; the four conceptual axes (S1 caste / S2 ethnic / S3 religious / S4 indigeneity) are NOT separately resolved by EPR's unified ethnic-group frame; POLITICAL-EXCLUSION not SOCIOECONOMIC-CHANNELING: EPR codes access to executive power, under-captures labor-market caste hierarchy (India SCs coded JUNIOR PARTNER -> 0; ZAF post-apartheid majority in-power -> 0); the labor-market-channeling CONDITION c_A is NOT supplied here -- this is the UNCONDITIONED standing-exclusion signal; STRUCTURAL-ABSENCE vs UNMEASURED (rule 9): ~41 sample countries absent from EPR's universe (pop>=250k & >=2 relevant groups) stay MISSING (drop-and-re-average), NOT 0 -- cannot distinguish 'no excluded stratum' from 'not covered' from the panel alone; pending a coding rule; LICENSE-VERIFY: EPR academic/open & downloadable but redistribution terms for the published index UNCONFIRMED -- confirm before public release; NOT blocking now; GOVERNANCE-MODULATOR (Z1) NOT applied here: the shared general-governance dial is the score-once WGI/V-Dem backbone (already wired: wb_wgi_rule_of_law / v2x_rule) applied at domain-assembly, NOT in this source table -- de-dup at the cross-domain pass"
lnr_domain_raw,FLSRI domain aggregate (this connector),"mean(D1,D2) rule-9 drop-and-re-average",193,2006,2025,derived,high_risk,"[0,1] equal-weight mean of D1 (birth-reg incompleteness) + D2 (statelessness)",99.0,"DOMAIN-RAW (pre-governance): equal-weight average of D1, D2 (scoring rule 5), with rule-9 drop-and-re-average (>=50%/min-1-of-2 floor; a single-driver domain is surfaced as a coverage caution). f_gov (M1 governance) is NOT applied here -- it is a downstream aggregation step. 26 single-driver rows are low-confidence (of which 11 from a dropped/suppressed statelessness figure, resting on D1 alone, never zeroed). See lnr_domain_low_confidence column for the per-row flag."
henley_passport_access,Henley Passport Index (May 2026 vintage),henley_passport_index_count_2026-05-07.csv:Visa Free,195,2026,2026,"UNCONFIRMED for public release -- RE-PUBLICATION-UNCONFIRMED (Henley proprietary, attribution required, re-publication rights unclear; confirm before release)",low_risk,"[0.0, 227.0] visa-free destination count",100.0,RE-PUBLICATION-UNCONFIRMED (design decision 3.2): Henley Passport Index (May 2026 vintage) re-publication rights UNCONFIRMED -- confirm before public release; NOT blocking now
ILR_CBCT_NOC_RT_A,"ILOSTAT (ILO, rplumber API)",ILR_CBCT_NOC_RT_A,99,2008,2020,CC BY 4.0 (ILO open data),low_risk,"[0.0, 100.0] % of employees covered by collective agreements",50.8,
ILR_TUMT_NOC_RT_A,"ILOSTAT (ILO, rplumber API)",ILR_TUMT_NOC_RT_A,135,2007,2020,CC BY 4.0 (ILO open data),low_risk,"[0.0, 100.0] % of employees who are trade union members",69.2,
LAI_INDE_NOC_RT_A,"ILOSTAT (ILO, rplumber API)",LAI_INDE_NOC_RT_A,83,2010,2024,CC BY 4.0 (ILO open data),low_risk,"[0.0, 3.0] labour inspectors per 10,000 employed persons",42.6,BELOW-COVERAGE-FLOOR (83/195 = 43%; floor 50%/min 2) -- low-confidence
SDG_F881_SEX_MIG_RT_A,"ILOSTAT (ILO, rplumber API)",SDG_F881_SEX_MIG_RT_A,92,2000,2024,CC BY 4.0 (ILO open data),high_risk,"[0.0, 20.0] fatal occupational injuries per 100,000 workers",47.2,BELOW-COVERAGE-FLOOR (92/195 = 47%; floor 50%/min 2) -- low-confidence
ep_informal_employment_share,"ILOSTAT (ILO, rplumber API)",SDG_0831_SEX_ECO_RT_A (TOTAL/SEX_T),143,2009,2025,CC BY 4.0 (ILO open data),high_risk,"[0.0, 100.0] % of total employment that is informal (SDG 8.3.1)",73.3,"GAP-FILL (Econ Precarity D2 informality). SDG 8.3.1 informal-employment rate, ECO_AGGREGATE_TOTAL + SEX_T slice."
esd_d2_informal_employment_share,"ILOSTAT (ILO, rplumber API)",SDG_0831_SEX_ECO_RT_A,143,2009,2025,CC BY 4.0 (ILO open data),high_risk,"[0.0, 100.0] informal employment, % of total employment (SDG 8.3.1)",73.3,
gs_sex_sector_channel_share,"ILOSTAT (ILO, rplumber API)",EMP_TEMP_SEX_ECO_NB_A (sex x economic activity),188,1983,2025,CC BY 4.0 (ILO open data),high_risk,"[0.0, 0.7] max(sex-specific exploitation-exposed-sector employment share), 0-1",96.4,"GAP-SOURCE (Gender Structuring D3.s3.2, the domain's strongest generating driver). STRUCTURAL sex x sector EMPLOYMENT composition = max(male (AGR+CON+MAN)/male-total, female (AGR+domestic ISIC4_T)/female-total); sex-symmetric. ANTI-CIRCULARITY (LOAD-BEARING): scored value is the STRUCTURAL employment share, NEVER the GEMS 2021 prevalence/victim count -- GEMS (ILO/WalkFree/IOM 2022) grounds the mechanism ONLY and is NOT pulled/scored; no trafficking/forced-labour prevalence series is mapped here. FEMALE-DOMESTIC-PARTIAL: paid domestic work (ISIC4_T) added to the female channel only where reported (~172/195); elsewhere the female channel = agriculture alone (understates the isolated-domestic channel) -- surfaced, not imputed. D3 is a SINGLE-SIGNAL driver here (s3.1 unpaid-care time-use + s3.3 migration-channelling not sourced) -- low-confidence per rule 9. REFRESH-REVISION (2026-06-10): ILOSTAT EMP_TEMP_SEX_ECO_NB_A re-pull revised this sex x sector channel for DJI/BHS/BRB/BTN; DJI's Gender Structuring domain rose enough to cross the frozen lower->middle tier cut (0.281) on observed data -- accepted as legitimate observed-data movement, not imputed."
ndgain_climate_vulnerability,ND-GAIN Country Index 2026 (vulnerability score) -- Notre Dame Global Adaptation Initiative,"ND-GAIN vulnerability, snapshot 2023",187,2023,2023,"Creative Commons (free/open, publish-safe with attribution) -- gain.nd.edu",high_risk,"[0.0, 1.0] ND-GAIN vulnerability score (0-1 composite, native bounds)",95.9,"SINGLE-SIGNAL DRIVER (Structural Disruption D2 chronic climate, s2.1). ND-GAIN vulnerability supplies s2.1 climate exposure/sensitivity ONLY; D2 signals s2.2 agrarian-livelihood dependence and s2.3 climate-driven outmigration (the D2 displacement hinge) are NOT supplied here -- D2 rests on this one signal until those land (within-driver average); STRUCTURAL-ABSENCE vs UNMEASURED (rule 9): FLSRI-sample countries absent from the ND-GAIN panel (~185-192 coverage) stay MISSING (drop-and-re-average), NOT 0 -- off-panel = unmeasured, not 'least vulnerable'; GOVERNANCE-DEDUP NOTE: ND-GAIN holds governance in its SEPARATE readiness axis (NOT mixed into the vulnerability score used here), so this signal does not double-count the shared governance defeater Z (z.1 = wb_wgi_rule_of_law / v2x_rule, applied once at domain assembly); ABSOLUTE-ANCHOR (rule 1): scored at native 0-1 conceptual bounds, NOT a winsorized-relative fallback -- comparable across refreshes; SNAPSHOT-YEAR 2023: most-recent fully-populated column in the 2026 edition; chronic standing condition (Condition B cB,2 ~= 1, continuously in-window)"
age_orphanhood_prevalence,NOT WIRED -- pending decision,n/a (note row),0,,,n/a,high_risk (intended),n/a (note row),0.0,"NOTE-ROW / UN-GROUNDABLE: S3.1 all-cause orphan/caregiver-loss prevalence has NO publish-safe 195-country panel. WDI carries no orphanhood series; UNICEF machine-accessible orphanhood is AIDS-related ONLY (HIV-specific subset, mild circularity) -- NOT substituted silently. Pending decision (see docs/METHODS.md). D3 falls back to S3.2 (child-marriage) alone, low-confidence single signal."
age_orphanhood_prevalence,NOT WIRED -- source need documented,n/a (note row),0,,,n/a,high_risk (intended),n/a (note row),0.0,"NOTE-ROW / UN-GROUNDABLE: docs/METHODS.md S3.1 all-cause orphan/caregiver-loss prevalence has NO publish-safe 195-country panel. WDI carries no orphanhood series; UNICEF machine-accessible orphanhood is AIDS-related ONLY (HIV-specific subset, mild circularity) -- NOT substituted silently. Source need documented in docs/data-provenance.md. D3 falls back to S3.2 (child-marriage) alone, low-confidence single signal (docs/METHODS.md 7.4)."
lnr_foundational_id_coverage,NOT WIRED -- unverified; request filed,n/a (note row),0,,,n/a,high_risk (intended),n/a (note row),0.0,"NOTE-ROW / UNVERIFIED: the design contemplates a SECOND D1 signal (foundational-ID / legal-identity coverage, e.g. WB ID4D) but its country coverage is flagged 'asserted-not-cited' (docs/METHODS.md). NOT wired -- not relied on; D1 rests on the single S1.1 backbone (one-signal driver, coverage caution). Must be a DISTINCT measurement base from birth-registration completeness to avoid double-counting the same latent signal. Pending decision (see docs/METHODS.md)."
lnr_foundational_id_coverage,NOT WIRED -- unverified; source need documented,n/a (note row),0,,,n/a,high_risk (intended),n/a (note row),0.0,"NOTE-ROW / UNVERIFIED: docs/METHODS.md contemplates a SECOND D1 signal (foundational-ID / legal-identity coverage, e.g. WB ID4D) but its country coverage is flagged as 'asserted-not-cited'. NOT wired -- not relied on; D1 rests on the single S1.1 backbone (one-signal driver, coverage caution). Must be a DISTINCT measurement base from birth-registration completeness to avoid double-counting the same latent signal. Source need documented in docs/data-provenance.md."
gs_governance_modulator_Z1_NOTE,SHARED governance backbone (wb_wgi_rule_of_law / v2x_rule) -- NOT re-pulled,n/a (note row -- downstream formula reference),0,,,n/a,attenuate-only (1 - f_gov),n/a (note row),0.0,"NOTE-ROW / SHARED-SCORED-ONCE: Z1 is the single shared general-governance/social-protection dial, placed ONCE at domain assembly (rules 7-8; see docs/scoring-rules.md). This connector does NOT pull a separate governance index -- de-duplicated downstream against the existing wb_wgi_rule_of_law / v2x_rule columns. Z2 (women's legal rights) is CONDITIONAL on the downstream collinearity check and is NOT stacked here."
lnr_governance_modulator_M1,SHARED governance backbone (wb_wgi_rule_of_law / v2x_rule) -- NOT re-pulled,n/a (note row -- downstream formula reference),0,,,n/a,attenuate-only (1 - f_gov),n/a (note row),0.0,"NOTE-ROW / SHARED-SCORED-ONCE: M1 is the single shared general-governance dial, placed ONCE at the domain level (docs/METHODS.md; scoring rules 7-8). The data-stage correlation screen de-dups it -- this connector does NOT pull a separate governance index; the (1 - f_gov) attenuation is a downstream aggregation step that references the existing wb_wgi_rule_of_law / v2x_rule columns. GROUNDING-FLAGGED: the SPECIFIC governance x legal-non-recognition -> trafficking moderation is NOT in the verified pool -- carried as an assumption pending a data-stage source (pending decision; docs/METHODS.md). f_gov magnitude unsettled + flagged for the data-stage correlation/collinearity + sensitivity check (scoring rule 8; flagged for review)."
trace_bribery_total,TRACE International Bribery Risk Matrix 2024,trace_bribery_risk_matrix_2024.csv:Total Score,190,2024,2024,"UNCONFIRMED for public release -- RE-PUBLICATION-UNCONFIRMED (TRACE published publicly, no explicit open license; confirm re-publication rights before release)",high_risk,"[0.0, 100.0] TRACE bribery risk score (0-100)",97.4,RE-PUBLICATION-UNCONFIRMED (design decision 3.2): TRACE International Bribery Risk Matrix 2024 re-publication rights UNCONFIRMED -- confirm before public release; NOT blocking now
basel_tjn_fsi,Tax Justice Network Financial Secrecy Index 2025 (via Basel AML Index Expert Edition 2026),basel-aml-index-expertedition_2026-03-31.xlsx:Tax Justice Network Financial Secrecy Index (col 20),120,2025,2025,Basel workbook open with citation; standalone TJN FSI re-publication license UNCONFIRMED -- RE-PUBLICATION-UNCONFIRMED,high_risk,"[0.0, 10.0] Basel risk scale 0-10 (TJN Financial Secrecy Index; higher = more secrecy-jurisdiction exposure = more risk)",61.5,"PRODUCT-2 LENS ONLY (scoring rule 7; see docs/METHODS.md): Monetization Domain A feeds the intervention map, NOT the R x E composite; NON-CIRCULAR SLICE (circularity flags; docs/METHODS.md): disaggregated Basel sub-component, NOT the Basel composite (which embeds the TIP Report); lens-only -- do not promote to Product-1 without the data-stage demonstration; CORRELATION-PENDING (scoring rule 4 / rule 8): keep-distinct-vs-merge for the Monetization financial-integrity component count is the data-stage correlation/collinearity screen vs the governance backbone (wb_wgi_rule_of_law / v2x_rule) and FATF-ME vs FSI -- pending decision, flagged for review (placeholder ~r<0.6-0.7 keep / ~r>=0.85 merge); LICENSE-PENDING: standalone TJN FSI re-publication rights UNCONFIRMED -- confirm before public release (NOT blocking now); CANDIDATE SECOND SIGNAL: kept only if it passes the data-stage de-correlation check vs FATF-ME + the governance backbone"
ucdp_conflict_intensity,UCDP Georeferenced Event Dataset (GED) v24.1 -- Uppsala Conflict Data Program,"UCDP GED v24.1 best-deaths, types [1, 2, 3], window 2019-2023",194,2019,2023,"CC BY 4.0 (fully open, publish-safe with attribution) -- ucdp.uu.se",high_risk,"[0.0, 100.0] conflict (best-estimate) deaths per 100k (5-yr window 2019-2023)",99.5,"SOURCE-CHOICE (Structural Disruption D3 conflict intensity, s3.1). UCDP GED chosen over ACLED, which is licence-restricted (registration, no redistribution) and EXCLUDED from the published index -- 'use UCDP, NOT ACLED'; MNAR-TRUE-ZERO: in-sample countries absent from UCDP GED treated as 0 events (accepted event-stock assumption, mirrors EM-DAT, NOT drop-and-re-average); countries with no population denominator stay missing; WINDOW-PRIOR: 5 complete years 2019-2023 (GED v24.1 ends 2023; mirrors the EM-DAT 5-yr window length) -- pending decision, not locked; ANCHOR-PRIOR: ceiling 100 deaths/100k over the window -- absolute per-exposure anchor mirroring EM-DAT D1 for cross-signal comparability; UKR/ETH/ISR/AFG clamp at ceiling -- pending decision, not locked; DISPLACEMENT DOUBLE-COUNT GUARD: this is the DIRECT intensity signal s3.1 ONLY; the D3 displacement hinge s3.2 (IDPs + originating refugees) is the already-wired UNHCR series and is NOT re-counted here; UNIT-CAUTION: D3 degrades most under country-level aggregation (conflict is natively subnational); subnational disaggregation = future work via GED geocodes, not a reason to change the unit now; LICENSE OPEN: UCDP GED is CC BY 4.0 publish-safe -- NOT a pre-publication requirement (unlike the EM-DAT D1 sibling and the rejected ACLED)"
unctad_export_concentration,UNCTADSTAT (authenticated OData API),unctad_concent_div_exports,191,2024,2024,UNCTAD data publicly available; cite UNCTADSTAT,high_risk,"[0.0, 1.0] UNCTAD merchandise export concentration index (HHI-style, 0-1)",97.9,"DIRECTION-FIXED (1.10): switched from IMPORT (Flow/Code '02') to EXPORT concentration (Flow/Code '01') to match indicator 2.3.4; DIRECTION-VERIFY flag cleared. EXPORT-REFRESH-DONE (2026-06-01): credentials present, series re-pulled on the export flow (Flow/Code '01', 2024) -- data/processed/aux_unctad.csv now carries aux_unctad_export_concentration (the prior stale import column is overwritten); M49->ISO3 mapping implemented here via pycountry numeric (was missing in the prior pipeline); 5xxx regional aggregates dropped"
gs_gender_inequality_index,UNDP Human Development Report -- Gender Inequality Index (via Our World in Data republication),UNDP HDR Gender Inequality Index (OWID full CSV),172,2023,2023,UNDP HDR (publish with attribution); OWID data CC BY 4.0 -- confirm UNDP HDR re-publication terms before public release,high_risk,"[0.0, 1.0] UNDP Gender Inequality Index (0 = equal, 1 = maximally unequal)",88.2,"GAP-SOURCE (Gender Structuring D1.s1.2). UNDP GII = multi-dimensional gendered-gap composite, native 0-1 absolute anchor. LICENSE-VERIFY: UNDP HDR re-publication terms UNCONFIRMED for the public index -- confirm before release (OWID layer is CC BY 4.0). GII embeds a labour-market LFP component -- screen collinearity with gs_lfp_gender_gap (partial within-D1 overlap) and vs Economic Precarity."
unhcr_asylum_seekers_by_coa,UNHCR Population Statistics API,unhcr_asylum_seekers_by_coa,182,2010,2025,Open / CC BY (attribution required),high_risk,"[0.0, 5000.0] persons per 100k population",93.3,
unhcr_idps_by_country,UNHCR Population Statistics API,unhcr_idps_by_country,182,2010,2025,Open / CC BY (attribution required),high_risk,"[0.0, 5000.0] persons per 100k population",93.3,
